,Name,Profile link,Picture,Degree,About,Specialization,Years of Experience,Language,Fee for query,Fee for video query,Review
0,Dr. Snehal Laul,https://www.icliniq.com//doctor/dr-snehal-laul,https://img.icliniq.com/doc_photo/dr-snehal-laul-633882-60e4d74bd5f1f.jpg,DDV (DERMATOLOGY & VENEROLOGY),"
Professional Bio: 
Dr.Snehal Laul is a Dermatologist and Venereologist. She completed MBBS at NDMVPS Medical College, Nashik, and DDV (Dermatology & Venerology) at the College of Physicians and Surgeons, Mumbai. ... Read More  ","
Venereology
 

Dermatology, 
",4+ Yrs,"
English
","
Rs.199
","
Rs.399
",Received 64 upvotes out of 72 votes
1,Dr. Murugananth Subramaniam,https://www.icliniq.com//doctor/dr-murugananth-subramaniam,https://img.icliniq.com/doc_photo/dr-murugananth-subramaniam-140275-60e377efce898.jpg,NEPHROLOGY,"
Professional Bio: 
Dr.Murugananth Subramaniam is a doctor who specializes in Nephrology. He finished his Doctorate of Medicine in Nephrology from The Tamil Nadu Dr. M.G.R. Medical University. He focuses on treating v... Read More  ","
Nephrology
",5+ Yrs,"
Rs.199
","
Rs.199
","
Rs.399
",Received 1 upvote out of 1 vote
2,Dr. Aida Quka,https://www.icliniq.com//doctor/dr-aida-quka,https://img.icliniq.com/doc_photo/dr-aida-quka-48874-60e38af15ef5e.jpg,FACULTY OF MEDICINE,"
Professional Bio: 
Dr.Aida Quka is a Neurologist with 10 years of clinical experience. She completed her Faculty of Medicine at the University of Tirana and Neurology Post Graduation Degree at the University Hospital... Read More  ","
Neurology
 

Low Back Pain,
Headaches And Migraines,
Movement Disorder,
Transverse Myelitis,
Meningitis,
Cerebral Palsy,
Carpal Tunnel Syndrome,
 ... 

",10+ Yrs,"
English, Albanian, Italian
","
Rs.969
","
Rs.1929
",Received 254 upvotes out of 278 votes
3,Dr. Shiv Kumar Sharma,https://www.icliniq.com//doctor/dr-shiv-kumar-sharma-1,https://img.icliniq.com/doc_photo/dr-shiv-kumar-sharma-1-738724-5f40c96687c32.jpg,B.A.M.S.,"
Professional Bio: 
Dr.Shiv Kumar Sharma is an Ayurveda Specialist. He worked at G. B. Pant Hospital New Delhi through Govt of India and Government of Raj Department of Ayurveda. He received Certificate in Yoga (Patan... Read More  ","
Ayurveda Specialist
 

Acne, Gain Weight, Pcod Treatment, Ayurveda Treatment, Menstrual Bleeding, Chitrakadi Vati, Indigestion Relief, Pitta Imbalance 
",35+ Yrs,"
English
","
Rs.199
","
Rs.399
",Received 61 upvotes out of 62 votes
4,Dr. Rajesh Gulati,https://www.icliniq.com//doctor/drrajesh-gulati,https://img.icliniq.com/doc_photo/drrajesh-gulati-279-60eca6d5e4a1b.jpg,MBBS,"
Professional Bio: 
Dr.Rajesh Gulati is a senior Family Physician with 16 years of clinical experience who did his MBBS from Goa Medical College in 2002. Later, he pursued his Post-Graduate Diploma in Geriatric Medici... Read More  ","
Family Physician, Medical Oncology
 

General Practitioner, Geriatrics, 
",16+ Yrs,"
English, Hindi, Punjabi
","
Rs.199
","
Rs.399
",Received 1178 upvotes out of 1390 votes
5,Dr. Mohamad Ali Rida,https://www.icliniq.com//doctor/dr-mohamad-ali-rida,https://img.icliniq.com/doc_photo/dr-mohamad-ali-rida-829555-60ecab9795783.jpg,LUPUS AND PSORIATIC ARTHRITIS FELLOWSHIP,"
Professional Bio: 
Dr.Mohamad Ali Rida is a well-experienced Rheumatologist with seven years of clinical experience. He completed his Internal Medicine from American University of Beirut in 2014. He later completed a... Read More  ","
Rheumatology
 

Rheumatoid Arthritis, Esr, Crp, Gouty Arthritis, Anti-ccp 
",7+ Yrs,"
English
","
Rs.199
","
Rs.399
",Received 7 upvotes out of 7 votes
6,Dr. Sameer Kumar,https://www.icliniq.com//doctor/dr-sameer-kumar,https://img.icliniq.com/doc_photo/dr-sameer-kumar-18918-605ef30852917.jpg,MBBS,"
Professional Bio: 
Dr.Sameer Kumar is an Obstetrician and a Gynecologist specializing in treating Infertility. He completed his MBBS at the Mumbai University, MS Obstetrics and Gynecology at the Rajeev Gandhi Univers... Read More  ","
Obstetrics And Gynaecology
 

Family Physician, Infertility, Gynaecological Laparoscopy,
Cesarean Section,
Antenatal Care,
Cervical Cancer Screening,
Contraception And Birth Control,
Labour Pain Management,
Normal Delivery,
 ... 

",16+ Yrs,"
English, Hindi
","
Rs.600
","
Rs.1000
",Received 1747 upvotes out of 1863 votes
7,Dr. Ganesh P Sapkal,https://www.icliniq.com//doctor/dr-ganesh-patilba-sapkal,https://img.icliniq.com/doc_photo/dr-ganesh-patilba-sapkal-298781-60de3a8c1a6e5.jpg,DM CARDIOLOGY,"
Professional Bio: 
Dr.Ganesh P Sapkal is a doctor who specializes in Cardiology. He completed his DM in cardiology from Maharastra University of Health Sciences. He is well-trained in diagnosing, treating, and preven... Read More  ","
Cardiology
 

Echocardiogram, Tachycardia, Blood Pressure Monitor, High Blood Pressure, Pacemaker, Dehydration, Anti-hypertensive Pills, Tricuspid Regurgitation, Stress, Blood Pressure 
",4+ Yrs,"
English, Hindi, Marathi
","
Rs.199
","
Rs.599
",Received 63 upvotes out of 75 votes
8,Dr. Aleph,https://www.icliniq.com//doctor/dr-aleph,https://img.icliniq.com/doc_photo/dr-aleph-470741-60de256395ddd.jpg,DOCTOR OF MEDICINE,"
Professional Bio: 
Dr.Aleph finished residency training in Family and Community Medicine at a top government hospital in the Philippines - Philippine General Hospital. She has handled and managed thousands of patient... Read More  ","
General Practitioner
 

Family Physician, Hypertension Management,
Common Cold,
 ... 

",4+ Yrs,"
English, Filipino
","
Rs.439
","
Rs.629
",Received 19 upvotes out of 20 votes
9,Dr. Navajith Mani,https://www.icliniq.com//doctor/dr-navajith-mani,https://img.icliniq.com/doc_photo/dr-navajith-mani-867323-6129e85578714.jpeg,MBBS,"
Professional Bio: 
Dr Navajith Mani MBBS, MS( General Surgery ), DNB A qualified medical practitioner , General Surgeon and Family Physician He is experienced in Laparoscopic surgery:- Gall Bladder, Hernias, App... Read More  ","
General Practitioner
 

General Surgery, Family Physician, 
",7+ Yrs,"
English, Hindi, Kannada, Malayalam, Tamil
","
Rs.249
","
Rs.399
",Received 99 upvotes out of 107 votes
